cp,municipio,provincia,ccaa
01001,Vitoria-Gasteiz,Araba/Álava,País Vasco
01002,Vitoria-Gasteiz,Araba/Álava,País Vasco
01003,Vitoria-Gasteiz,Araba/Álava,País Vasco
01004,Vitoria-Gasteiz,Araba/Álava,País Vasco
01005,Vitoria-Gasteiz,Araba/Álava,País Vasco
01006,Vitoria-Gasteiz,Araba/Álava,País Vasco
01007,Vitoria-Gasteiz,Araba/Álava,País Vasco
01008,Vitoria-Gasteiz,Araba/Álava,País Vasco
01009,Vitoria-Gasteiz,Araba/Álava,País Vasco
01010,Vitoria-Gasteiz,Araba/Álava,País Vasco
01012,Vitoria-Gasteiz,Araba/Álava,País Vasco
01013,Vitoria-Gasteiz,Araba/Álava,País Vasco
01015,Vitoria-Gasteiz,Araba/Álava,País Vasco
01100,Vitoria-Gasteiz,Araba/Álava,País Vasco
01110,Campezo/Kanpezu,Araba/Álava,País Vasco
01117,Campezo/Kanpezu,Araba/Álava,País Vasco
01117,Harana/Valle de Arana,Araba/Álava,País Vasco
01118,Bernedo,Araba/Álava,País Vasco
01118,Lagrán,Araba/Álava,País Vasco
01118,Condado de Treviño,Burgos,Castilla y León
01120,Arraia-Maeztu,Araba/Álava,País Vasco
01128,Bernedo,Araba/Álava,País Vasco
01128,Campezo/Kanpezu,Araba/Álava,País Vasco
01128,Arraia-Maeztu,Araba/Álava,País Vasco
01129,Arraia-Maeztu,Araba/Álava,País Vasco
01130,Zuia,Araba/Álava,País Vasco
01138,Zigoitia,Araba/Álava,País Vasco
01139,Zuia,Araba/Álava,País Vasco
01160,Aramaio,Araba/Álava,País Vasco
01165,Aramaio,Araba/Álava,País Vasco
01169,Aramaio,Araba/Álava,País Vasco
01170,Legutio,Araba/Álava,País Vasco
01191,Vitoria-Gasteiz,Araba/Álava,País Vasco
01191,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01192,Elburgo/Burgelu,Araba/Álava,País Vasco
01192,Vitoria-Gasteiz,Araba/Álava,País Vasco
01193,Alegría-Dulantzi,Araba/Álava,País Vasco
01193,Elburgo/Burgelu,Araba/Álava,País Vasco
01193,Iruraiz-Gauna,Araba/Álava,País Vasco
01193,Vitoria-Gasteiz,Araba/Álava,País Vasco
01194,Bernedo,Araba/Álava,País Vasco
01194,Vitoria-Gasteiz,Araba/Álava,País Vasco
01195,Vitoria-Gasteiz,Araba/Álava,País Vasco
01195,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01196,Zigoitia,Araba/Álava,País Vasco
01196,Vitoria-Gasteiz,Araba/Álava,País Vasco
01200,Agurain/Salvatierra,Araba/Álava,País Vasco
01206,Barrundia,Araba/Álava,País Vasco
01206,Iruraiz-Gauna,Araba/Álava,País Vasco
01207,Iruraiz-Gauna,Araba/Álava,País Vasco
01207,Agurain/Salvatierra,Araba/Álava,País Vasco
01207,San Millán/Donemiliaga,Araba/Álava,País Vasco
01208,Asparrena,Araba/Álava,País Vasco
01208,Barrundia,Araba/Álava,País Vasco
01208,San Millán/Donemiliaga,Araba/Álava,País Vasco
01208,Zalduondo,Araba/Álava,País Vasco
01211,Armiñón,Araba/Álava,País Vasco
01211,Berantevilla,Araba/Álava,País Vasco
01211,Lagrán,Araba/Álava,País Vasco
01211,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01211,Condado de Treviño,Burgos,Castilla y León
01212,Berantevilla,Araba/Álava,País Vasco
01212,Labastida/Bastida,Araba/Álava,País Vasco
01212,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01212,Zambrana,Araba/Álava,País Vasco
01213,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01213,Ribera Baja/Erriberabeitia,Araba/Álava,País Vasco
01213,Lantarón,Araba/Álava,País Vasco
01216,Bernedo,Araba/Álava,País Vasco
01216,Peñacerrada-Urizaharra,Araba/Álava,País Vasco
01220,Armiñón,Araba/Álava,País Vasco
01220,Berantevilla,Araba/Álava,País Vasco
01220,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01220,Ribera Baja/Erriberabeitia,Araba/Álava,País Vasco
01230,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01240,Alegría-Dulantzi,Araba/Álava,País Vasco
01250,Asparrena,Araba/Álava,País Vasco
01260,Asparrena,Araba/Álava,País Vasco
01300,Laguardia,Araba/Álava,País Vasco
01306,Lapuebla de Labarca,Araba/Álava,País Vasco
01307,Baños de Ebro/Mañueta,Araba/Álava,País Vasco
01307,Samaniego,Araba/Álava,País Vasco
01307,Villabuena de Álava/Eskuernaga,Araba/Álava,País Vasco
01308,Kripan,Araba/Álava,País Vasco
01308,Laguardia,Araba/Álava,País Vasco
01308,Lanciego/Lantziego,Araba/Álava,País Vasco
01309,Elvillar/Bilar,Araba/Álava,País Vasco
01309,Laguardia,Araba/Álava,País Vasco
01309,Leza,Araba/Álava,País Vasco
01309,Navaridas,Araba/Álava,País Vasco
01320,Oyón-Oion,Araba/Álava,País Vasco
01321,Laguardia,Araba/Álava,País Vasco
01322,Moreda de Álava/Moreda Araba,Araba/Álava,País Vasco
01322,Oyón-Oion,Araba/Álava,País Vasco
01322,Yécora/Iekora,Araba/Álava,País Vasco
01330,Labastida/Bastida,Araba/Álava,País Vasco
01340,Elciego,Araba/Álava,País Vasco
01400,Laudio/Llodio,Araba/Álava,País Vasco
01408,Ayala/Aiara,Araba/Álava,País Vasco
01409,Okondo,Araba/Álava,País Vasco
01420,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01423,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01423,Añana,Araba/Álava,País Vasco
01423,Valdegovía/Gaubea,Araba/Álava,País Vasco
01423,Lantarón,Araba/Álava,País Vasco
01426,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01426,Añana,Araba/Álava,País Vasco
01426,Valdegovía/Gaubea,Araba/Álava,País Vasco
01427,Valdegovía/Gaubea,Araba/Álava,País Vasco
01427,Berberana,Burgos,Castilla y León
01427,Jurisdicción de San Zadornil,Burgos,Castilla y León
01428,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco
01428,Valdegovía/Gaubea,Araba/Álava,País Vasco
01428,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco
01430,Kuartango,Araba/Álava,País Vasco
01439,Kuartango,Araba/Álava,País Vasco
01440,Urkabustaiz,Araba/Álava,País Vasco
01449,Urkabustaiz,Araba/Álava,País Vasco
01450,Amurrio,Araba/Álava,País Vasco
01450,Urkabustaiz,Araba/Álava,País Vasco
01450,Zuia,Araba/Álava,País Vasco
01468,Amurrio,Araba/Álava,País Vasco
01470,Amurrio,Araba/Álava,País Vasco
01470,Ayala/Aiara,Araba/Álava,País Vasco
01474,Artziniega,Araba/Álava,País Vasco
01476,Ayala/Aiara,Araba/Álava,País Vasco
01477,Ayala/Aiara,Araba/Álava,País Vasco
01478,Artziniega,Araba/Álava,País Vasco
01478,Ayala/Aiara,Araba/Álava,País Vasco
01479,Ayala/Aiara,Araba/Álava,País Vasco
01510,Arratzua-Ubarrundia,Araba/Álava,País Vasco
01510,Legutio,Araba/Álava,País Vasco
01510,Vitoria-Gasteiz,Araba/Álava,País Vasco
01520,Arratzua-Ubarrundia,Araba/Álava,País Vasco
01520,Vitoria-Gasteiz,Araba/Álava,País Vasco
02001,Albacete,Albacete,Castilla-La Mancha
02002,Albacete,Albacete,Castilla-La Mancha
02003,Albacete,Albacete,Castilla-La Mancha
02004,Albacete,Albacete,Castilla-La Mancha
02005,Albacete,Albacete,Castilla-La Mancha
02006,Albacete,Albacete,Castilla-La Mancha
02007,Albacete,Albacete,Castilla-La Mancha
02008,Albacete,Albacete,Castilla-La Mancha
02049,Albacete,Albacete,Castilla-La Mancha
02100,Tarazona de la Mancha,Albacete,Castilla-La Mancha
02110,La Gineta,Albacete,Castilla-La Mancha
02120,Peñas de San Pedro,Albacete,Castilla-La Mancha
02124,Alcadozo,Albacete,Castilla-La Mancha
02124,Ayna,Albacete,Castilla-La Mancha
02124,Liétor,Albacete,Castilla-La Mancha
02125,Ayna,Albacete,Castilla-La Mancha
02127,Casas de Lázaro,Albacete,Castilla-La Mancha
02127,Peñascosa,Albacete,Castilla-La Mancha
02127,Peñas de San Pedro,Albacete,Castilla-La Mancha
02129,Alcadozo,Albacete,Castilla-La Mancha
02129,Peñas de San Pedro,Albacete,Castilla-La Mancha
02129,Pozohondo,Albacete,Castilla-La Mancha
02130,Bogarra,Albacete,Castilla-La Mancha
02136,Paterna del Madera,Albacete,Castilla-La Mancha
02137,Paterna del Madera,Albacete,Castilla-La Mancha
02137,Peñascosa,Albacete,Castilla-La Mancha
02139,Ayna,Albacete,Castilla-La Mancha
02139,Bogarra,Albacete,Castilla-La Mancha
02140,Albacete,Albacete,Castilla-La Mancha
02141,Pozohondo,Albacete,Castilla-La Mancha
02142,Hellín,Albacete,Castilla-La Mancha
02142,Liétor,Albacete,Castilla-La Mancha
02142,Pozohondo,Albacete,Castilla-La Mancha
02150,Valdeganga,Albacete,Castilla-La Mancha
02151,Casas de Juan Núñez,Albacete,Castilla-La Mancha
02152,Alatoz,Albacete,Castilla-La Mancha
02153,Carcelén,Albacete,Castilla-La Mancha
02154,Pozo-Lorente,Albacete,Castilla-La Mancha
02154,Villavaliente,Albacete,Castilla-La Mancha
02155,Albacete,Albacete,Castilla-La Mancha
02156,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02160,Lezuza,Albacete,Castilla-La Mancha
02161,Lezuza,Albacete,Castilla-La Mancha
02162,La Herrera,Albacete,Castilla-La Mancha
02200,Casas-Ibáñez,Albacete,Castilla-La Mancha
02210,Alcalá del Júcar,Albacete,Castilla-La Mancha
02211,Alcalá del Júcar,Albacete,Castilla-La Mancha
02212,Casas de Ves,Albacete,Castilla-La Mancha
02213,Balsa de Ves,Albacete,Castilla-La Mancha
02213,Villa de Ves,Albacete,Castilla-La Mancha
02214,Alcalá del Júcar,Albacete,Castilla-La Mancha
02214,Balsa de Ves,Albacete,Castilla-La Mancha
02214,Villa de Ves,Albacete,Castilla-La Mancha
02215,Alborea,Albacete,Castilla-La Mancha
02215,Villatoya,Albacete,Castilla-La Mancha
02220,Albacete,Albacete,Castilla-La Mancha
02220,Motilleja,Albacete,Castilla-La Mancha
02230,Madrigueras,Albacete,Castilla-La Mancha
02240,Mahora,Albacete,Castilla-La Mancha
02246,Navas de Jorquera,Albacete,Castilla-La Mancha
02247,Cenizate,Albacete,Castilla-La Mancha
02248,Jorquera,Albacete,Castilla-La Mancha
02249,Fuentealbilla,Albacete,Castilla-La Mancha
02249,Jorquera,Albacete,Castilla-La Mancha
02249,La Recueja,Albacete,Castilla-La Mancha
02250,Abengibre,Albacete,Castilla-La Mancha
02251,Fuentealbilla,Albacete,Castilla-La Mancha
02252,Alcalá del Júcar,Albacete,Castilla-La Mancha
02253,Golosalvo,Albacete,Castilla-La Mancha
02260,Fuentealbilla,Albacete,Castilla-La Mancha
02270,Villamalea,Albacete,Castilla-La Mancha
02300,Alcaraz,Albacete,Castilla-La Mancha
02310,Viveros,Albacete,Castilla-La Mancha
02311,Povedilla,Albacete,Castilla-La Mancha
02312,Alcaraz,Albacete,Castilla-La Mancha
02313,Peñascosa,Albacete,Castilla-La Mancha
02314,Alcaraz,Albacete,Castilla-La Mancha
02314,Masegoso,Albacete,Castilla-La Mancha
02314,Peñascosa,Albacete,Castilla-La Mancha
02315,Vianos,Albacete,Castilla-La Mancha
02316,Salobre,Albacete,Castilla-La Mancha
02320,Balazote,Albacete,Castilla-La Mancha
02326,San Pedro,Albacete,Castilla-La Mancha
02327,Albacete,Albacete,Castilla-La Mancha
02327,Pozuelo,Albacete,Castilla-La Mancha
02328,Albacete,Albacete,Castilla-La Mancha
02329,Casas de Lázaro,Albacete,Castilla-La Mancha
02340,Alcaraz,Albacete,Castilla-La Mancha
02340,Robledo,Albacete,Castilla-La Mancha
02350,Villapalacios,Albacete,Castilla-La Mancha
02360,Bienservida,Albacete,Castilla-La Mancha
02400,Hellín,Albacete,Castilla-La Mancha
02409,Hellín,Albacete,Castilla-La Mancha
02410,Liétor,Albacete,Castilla-La Mancha
02420,Hellín,Albacete,Castilla-La Mancha
02430,Elche de la Sierra,Albacete,Castilla-La Mancha
02434,Letur,Albacete,Castilla-La Mancha
02435,Socovos,Albacete,Castilla-La Mancha
02436,Férez,Albacete,Castilla-La Mancha
02437,Socovos,Albacete,Castilla-La Mancha
02439,Elche de la Sierra,Albacete,Castilla-La Mancha
02439,Letur,Albacete,Castilla-La Mancha
02440,Molinicos,Albacete,Castilla-La Mancha
02448,Bogarra,Albacete,Castilla-La Mancha
02448,Molinicos,Albacete,Castilla-La Mancha
02449,Elche de la Sierra,Albacete,Castilla-La Mancha
02449,Molinicos,Albacete,Castilla-La Mancha
02450,Riópar,Albacete,Castilla-La Mancha
02459,Riópar,Albacete,Castilla-La Mancha
02460,Villaverde de Guadalimar,Albacete,Castilla-La Mancha
02461,Cotillas,Albacete,Castilla-La Mancha
02462,Cotillas,Albacete,Castilla-La Mancha
02462,Riópar,Albacete,Castilla-La Mancha
02480,Yeste,Albacete,Castilla-La Mancha
02484,Yeste,Albacete,Castilla-La Mancha
02485,Yeste,Albacete,Castilla-La Mancha
02486,Elche de la Sierra,Albacete,Castilla-La Mancha
02486,Yeste,Albacete,Castilla-La Mancha
02487,Yeste,Albacete,Castilla-La Mancha
02489,Yeste,Albacete,Castilla-La Mancha
02490,Hellín,Albacete,Castilla-La Mancha
02499,Hellín,Albacete,Castilla-La Mancha
02500,Tobarra,Albacete,Castilla-La Mancha
02510,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02510,Pozo Cañada,Albacete,Castilla-La Mancha
02511,Albacete,Albacete,Castilla-La Mancha
02511,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02512,Albacete,Albacete,Castilla-La Mancha
02512,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02512,Tobarra,Albacete,Castilla-La Mancha
02513,Tobarra,Albacete,Castilla-La Mancha
02520,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02530,Nerpio,Albacete,Castilla-La Mancha
02534,Nerpio,Albacete,Castilla-La Mancha
02536,Nerpio,Albacete,Castilla-La Mancha
02600,Villarrobledo,Albacete,Castilla-La Mancha
02610,El Bonillo,Albacete,Castilla-La Mancha
02611,Ossa de Montiel,Albacete,Castilla-La Mancha
02612,Munera,Albacete,Castilla-La Mancha
02614,El Ballestero,Albacete,Castilla-La Mancha
02620,Minaya,Albacete,Castilla-La Mancha
02630,La Roda,Albacete,Castilla-La Mancha
02636,Villalgordo del Júcar,Albacete,Castilla-La Mancha
02637,Fuensanta,Albacete,Castilla-La Mancha
02638,Montalvos,Albacete,Castilla-La Mancha
02639,Barrax,Albacete,Castilla-La Mancha
02639,La Roda,Albacete,Castilla-La Mancha
02640,Almansa,Albacete,Castilla-La Mancha
02650,Montealegre del Castillo,Albacete,Castilla-La Mancha
02651,Fuente-Álamo,Albacete,Castilla-La Mancha
02652,Ontur,Albacete,Castilla-La Mancha
02653,Albatana,Albacete,Castilla-La Mancha
02660,Caudete,Albacete,Castilla-La Mancha
02690,Alpera,Albacete,Castilla-La Mancha
02691,Bonete,Albacete,Castilla-La Mancha
02691,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02692,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02692,Pétrola,Albacete,Castilla-La Mancha
02693,Corral-Rubio,Albacete,Castilla-La Mancha
02694,Higueruela,Albacete,Castilla-La Mancha
02695,Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha
02696,Hoya-Gonzalo,Albacete,Castilla-La Mancha
03001,Alacant/Alicante,Alicante,Comunitat Valenciana
03002,Alacant/Alicante,Alicante,Comunitat Valenciana
03003,Alacant/Alicante,Alicante,Comunitat Valenciana
03004,Alacant/Alicante,Alicante,Comunitat Valenciana
03005,Alacant/Alicante,Alicante,Comunitat Valenciana
03006,Alacant/Alicante,Alicante,Comunitat Valenciana
03007,Alacant/Alicante,Alicante,Comunitat Valenciana
03008,Alacant/Alicante,Alicante,Comunitat Valenciana
03009,Alacant/Alicante,Alicante,Comunitat Valenciana
03010,Alacant/Alicante,Alicante,Comunitat Valenciana
03011,Alacant/Alicante,Alicante,Comunitat Valenciana
03012,Alacant/Alicante,Alicante,Comunitat Valenciana
03013,Alacant/Alicante,Alicante,Comunitat Valenciana
03014,Alacant/Alicante,Alicante,Comunitat Valenciana
03015,Alacant/Alicante,Alicante,Comunitat Valenciana
03016,Alacant/Alicante,Alicante,Comunitat Valenciana
03071,Elx/Elche,Alicante,Comunitat Valenciana
03100,Xixona/Jijona,Alicante,Comunitat Valenciana
03108,"Torre de les Maçanes, la/Torremanzanas",Alicante,Comunitat Valenciana
03109,Tibi,Alicante,Comunitat Valenciana
03110,Mutxamel,Alicante,Comunitat Valenciana
03111,Busot,Alicante,Comunitat Valenciana
03112,Alacant/Alicante,Alicante,Comunitat Valenciana
03113,Alacant/Alicante,Alicante,Comunitat Valenciana
03113,Elx/Elche,Alicante,Comunitat Valenciana
03114,Alacant/Alicante,Alicante,Comunitat Valenciana
03115,Alacant/Alicante,Alicante,Comunitat Valenciana
03130,Santa Pola,Alicante,Comunitat Valenciana
03138,Alacant/Alicante,Alicante,Comunitat Valenciana
03139,Elx/Elche,Alicante,Comunitat Valenciana
03140,Guardamar del Segura,Alicante,Comunitat Valenciana
03149,Guardamar del Segura,Alicante,Comunitat Valenciana
03150,Dolores,Alicante,Comunitat Valenciana
03158,Catral,Alicante,Comunitat Valenciana
03158,Crevillent,Alicante,Comunitat Valenciana
03159,Daya Nueva,Alicante,Comunitat Valenciana
03160,Almoradí,Alicante,Comunitat Valenciana
03169,Algorfa,Alicante,Comunitat Valenciana
03169,Almoradí,Alicante,Comunitat Valenciana
03170,Rojales,Alicante,Comunitat Valenciana
03176,Algorfa,Alicante,Comunitat Valenciana
03177,Daya Vieja,Alicante,Comunitat Valenciana
03177,San Fulgencio,Alicante,Comunitat Valenciana
03178,Benijófar,Alicante,Comunitat Valenciana
03179,Almoradí,Alicante,Comunitat Valenciana
03179,Formentera del Segura,Alicante,Comunitat Valenciana
03181,Torrevieja,Alicante,Comunitat Valenciana
03182,Torrevieja,Alicante,Comunitat Valenciana
03183,Torrevieja,Alicante,Comunitat Valenciana
03184,Torrevieja,Alicante,Comunitat Valenciana
03185,Torrevieja,Alicante,Comunitat Valenciana
03186,Orihuela,Alicante,Comunitat Valenciana
03186,Torrevieja,Alicante,Comunitat Valenciana
03187,Los Montesinos,Alicante,Comunitat Valenciana
03188,Torrevieja,Alicante,Comunitat Valenciana
03189,Orihuela,Alicante,Comunitat Valenciana
03189,Torrevieja,Alicante,Comunitat Valenciana
03190,Pilar de la Horadada,Alicante,Comunitat Valenciana
03191,Orihuela,Alicante,Comunitat Valenciana
03191,Pilar de la Horadada,Alicante,Comunitat Valenciana
03193,San Miguel de Salinas,Alicante,Comunitat Valenciana
03194,Elx/Elche,Alicante,Comunitat Valenciana
03195,Elx/Elche,Alicante,Comunitat Valenciana
03201,Elx/Elche,Alicante,Comunitat Valenciana
03202,Elx/Elche,Alicante,Comunitat Valenciana
03203,Elx/Elche,Alicante,Comunitat Valenciana
03204,Elx/Elche,Alicante,Comunitat Valenciana
03205,Elx/Elche,Alicante,Comunitat Valenciana
03206,Elx/Elche,Alicante,Comunitat Valenciana
03207,Elx/Elche,Alicante,Comunitat Valenciana
03208,Elx/Elche,Alicante,Comunitat Valenciana
03290,Elx/Elche,Alicante,Comunitat Valenciana
03291,Elx/Elche,Alicante,Comunitat Valenciana
03292,Elx/Elche,Alicante,Comunitat Valenciana
03293,Elx/Elche,Alicante,Comunitat Valenciana
03294,Elx/Elche,Alicante,Comunitat Valenciana
03295,Elx/Elche,Alicante,Comunitat Valenciana
03296,Elx/Elche,Alicante,Comunitat Valenciana
03300,Orihuela,Alicante,Comunitat Valenciana
03310,Jacarilla,Alicante,Comunitat Valenciana
03311,Orihuela,Alicante,Comunitat Valenciana
03312,Orihuela,Alicante,Comunitat Valenciana
03313,Orihuela,Alicante,Comunitat Valenciana
03314,Orihuela,Alicante,Comunitat Valenciana
03315,Orihuela,Alicante,Comunitat Valenciana
03316,Benferri,Alicante,Comunitat Valenciana
03316,Orihuela,Alicante,Comunitat Valenciana
03317,Orihuela,Alicante,Comunitat Valenciana
03318,Orihuela,Alicante,Comunitat Valenciana
03319,Orihuela,Alicante,Comunitat Valenciana
03320,Elx/Elche,Alicante,Comunitat Valenciana
03321,Orihuela,Alicante,Comunitat Valenciana
03322,Orihuela,Alicante,Comunitat Valenciana
03325,Orihuela,Alicante,Comunitat Valenciana
03330,Crevillent,Alicante,Comunitat Valenciana
03339,Crevillent,Alicante,Comunitat Valenciana
03340,Albatera,Alicante,Comunitat Valenciana
03348,Granja de Rocamora,Alicante,Comunitat Valenciana
03349,San Isidro,Alicante,Comunitat Valenciana
03350,Cox,Alicante,Comunitat Valenciana
03360,Callosa de Segura,Alicante,Comunitat Valenciana
03360,Catral,Alicante,Comunitat Valenciana
03369,Orihuela,Alicante,Comunitat Valenciana
03369,Rafal,Alicante,Comunitat Valenciana
03370,Redován,Alicante,Comunitat Valenciana
03380,Bigastro,Alicante,Comunitat Valenciana
03380,Orihuela,Alicante,Comunitat Valenciana
03390,Benejúzar,Alicante,Comunitat Valenciana
03400,Villena,Alicante,Comunitat Valenciana
03408,Villena,Alicante,Comunitat Valenciana
03409,Cañada,Alicante,Comunitat Valenciana
03409,Villena,Alicante,Comunitat Valenciana
03410,Biar,Alicante,Comunitat Valenciana
03420,Castalla,Alicante,Comunitat Valenciana
03430,Onil,Alicante,Comunitat Valenciana
03440,Ibi,Alicante,Comunitat Valenciana
03450,Banyeres de Mariola,Alicante,Comunitat Valenciana
03460,Beneixama,Alicante,Comunitat Valenciana
03469,Beneixama,Alicante,Comunitat Valenciana
03469,"Camp de Mirra, el/Campo de Mirra",Alicante,Comunitat Valenciana
03501,Benidorm,Alicante,Comunitat Valenciana
03502,Benidorm,Alicante,Comunitat Valenciana
03503,Benidorm,Alicante,Comunitat Valenciana
03509,Finestrat,Alicante,Comunitat Valenciana
03510,Callosa d'en Sarrià,Alicante,Comunitat Valenciana
03516,Benimantell,Alicante,Comunitat Valenciana
03517,Beniardà,Alicante,Comunitat Valenciana
03517,Benifato,Alicante,Comunitat Valenciana
03517,Confrides,Alicante,Comunitat Valenciana
03517,el Castell de Guadalest,Alicante,Comunitat Valenciana
03518,Bolulla,Alicante,Comunitat Valenciana
03518,Tàrbena,Alicante,Comunitat Valenciana
03520,Polop,Alicante,Comunitat Valenciana
03530,la Nucia,Alicante,Comunitat Valenciana
03540,Alacant/Alicante,Alicante,Comunitat Valenciana
03550,Sant Joan d'Alacant,Alicante,Comunitat Valenciana
03559,Alacant/Alicante,Alicante,Comunitat Valenciana
03560,el Campello,Alicante,Comunitat Valenciana
03569,Aigües,Alicante,Comunitat Valenciana
03570,"Vila Joiosa, la/Villajoyosa",Alicante,Comunitat Valenciana
03578,Relleu,Alicante,Comunitat Valenciana
03579,Orxeta,Alicante,Comunitat Valenciana
03579,Sella,Alicante,Comunitat Valenciana
03580,l'Alfàs del Pi,Alicante,Comunitat Valenciana
03581,l'Alfàs del Pi,Alicante,Comunitat Valenciana
03590,Altea,Alicante,Comunitat Valenciana
03599,Altea,Alicante,Comunitat Valenciana
03599,Callosa d'en Sarrià,Alicante,Comunitat Valenciana
03600,Elda,Alicante,Comunitat Valenciana
03610,Petrer,Alicante,Comunitat Valenciana
03630,Sax,Alicante,Comunitat Valenciana
03638,Salinas,Alicante,Comunitat Valenciana
03638,Villena,Alicante,Comunitat Valenciana
03639,Sax,Alicante,Comunitat Valenciana
03639,Villena,Alicante,Comunitat Valenciana
03640,Elda,Alicante,Comunitat Valenciana
03640,Monòver/Monóvar,Alicante,Comunitat Valenciana
03649,Monòver/Monóvar,Alicante,Comunitat Valenciana
03650,"Pinós, el/Pinoso",Alicante,Comunitat Valenciana
03657,"Pinós, el/Pinoso",Alicante,Comunitat Valenciana
03657,Yecla,Murcia,Región de Murcia
03658,"Pinós, el/Pinoso",Alicante,Comunitat Valenciana
03659,"Pinós, el/Pinoso",Alicante,Comunitat Valenciana
03660,Novelda,Alicante,Comunitat Valenciana
03668,Algueña,Alicante,Comunitat Valenciana
03669,la Romana,Alicante,Comunitat Valenciana
03670,Monforte del Cid,Alicante,Comunitat Valenciana
03679,Monforte del Cid,Alicante,Comunitat Valenciana
03680,Aspe,Alicante,Comunitat Valenciana
03688,"Fondó de les Neus, el/Hondón de las Nieves",Alicante,Comunitat Valenciana
03689,Hondón de los Frailes,Alicante,Comunitat Valenciana
03689,Orihuela,Alicante,Comunitat Valenciana
03690,Sant Vicent del Raspeig/San Vicente del Raspeig,Alicante,Comunitat Valenciana
03698,Agost,Alicante,Comunitat Valenciana
03699,Alacant/Alicante,Alicante,Comunitat Valenciana
03700,Dénia,Alicante,Comunitat Valenciana
03709,Dénia,Alicante,Comunitat Valenciana
03710,Calp,Alicante,Comunitat Valenciana
03720,Benissa,Alicante,Comunitat Valenciana
03723,Alcalalí,Alicante,Comunitat Valenciana
03724,Teulada,Alicante,Comunitat Valenciana
03725,Teulada,Alicante,Comunitat Valenciana
03726,"Poble Nou de Benitatxell, el/Benitachell",Alicante,Comunitat Valenciana
03727,Xaló,Alicante,Comunitat Valenciana
03728,Alcalalí,Alicante,Comunitat Valenciana
03729,Llíber,Alicante,Comunitat Valenciana
03729,Senija,Alicante,Comunitat Valenciana
03730,Xàbia/Jávea,Alicante,Comunitat Valenciana
03737,Xàbia/Jávea,Alicante,Comunitat Valenciana
03738,Xàbia/Jávea,Alicante,Comunitat Valenciana
03739,Xàbia/Jávea,Alicante,Comunitat Valenciana
03740,Gata de Gorgos,Alicante,Comunitat Valenciana
03749,Dénia,Alicante,Comunitat Valenciana
03750,Pedreguer,Alicante,Comunitat Valenciana
03759,Alcalalí,Alicante,Comunitat Valenciana
03759,Benidoleig,Alicante,Comunitat Valenciana
03760,Ondara,Alicante,Comunitat Valenciana
03769,Benimeli,Alicante,Comunitat Valenciana
03769,el Ràfol d'Almúnia,Alicante,Comunitat Valenciana
03769,Sanet y Negrals,Alicante,Comunitat Valenciana
03770,el Verger,Alicante,Comunitat Valenciana
03778,Beniarbeig,Alicante,Comunitat Valenciana
03779,Dénia,Alicante,Comunitat Valenciana
03779,els Poblets,Alicante,Comunitat Valenciana
03780,Pego,Alicante,Comunitat Valenciana
03786,l'Atzúbia,Alicante,Comunitat Valenciana
03786,la Vall d'Alcalà,Alicante,Comunitat Valenciana
03788,la Vall d'Alcalà,Alicante,Comunitat Valenciana
03788,la Vall de Gallinera,Alicante,Comunitat Valenciana
03789,Dénia,Alicante,Comunitat Valenciana
03789,Pego,Alicante,Comunitat Valenciana
03789,el Ràfol d'Almúnia,Alicante,Comunitat Valenciana
03789,la Vall d'Ebo,Alicante,Comunitat Valenciana
03790,Orba,Alicante,Comunitat Valenciana
03791,Orba,Alicante,Comunitat Valenciana
03791,la Vall de Laguar,Alicante,Comunitat Valenciana
03792,Murla,Alicante,Comunitat Valenciana
03792,Parcent,Alicante,Comunitat Valenciana
03793,Castell de Castells,Alicante,Comunitat Valenciana
03794,Benigembla,Alicante,Comunitat Valenciana
03795,Orba,Alicante,Comunitat Valenciana
03795,Sagra,Alicante,Comunitat Valenciana
03795,Tormos,Alicante,Comunitat Valenciana
03801,Alcoi/Alcoy,Alicante,Comunitat Valenciana
03802,Alcoi/Alcoy,Alicante,Comunitat Valenciana
03803,Alcoi/Alcoy,Alicante,Comunitat Valenciana
